	gene_ids
Hsbp1	ENSMUSG00000031839
Tcf4	ENSMUSG00000053477
Adra1b	ENSMUSG00000050541
Negr1	ENSMUSG00000040037
Nptx2	ENSMUSG00000059991
Frmd8	ENSMUSG00000024816
Prdm8	ENSMUSG00000035456
Grp	ENSMUSG00000024517
Usp11	ENSMUSG00000031066
2310022B05Rik	ENSMUSG00000031983
Id4	ENSMUSG00000021379
H3f3a	ENSMUSG00000060743
Rasd2	ENSMUSG00000034472
Cpne5	ENSMUSG00000024008
Ppp1r16b	ENSMUSG00000037754
Adarb2	ENSMUSG00000052551
Gpc1	ENSMUSG00000034220
Stau1	ENSMUSG00000039536
Cbln4	ENSMUSG00000067578
Foxp1	ENSMUSG00000030067
Pcdh8	ENSMUSG00000036422
Galnt16	ENSMUSG00000021130
Grm4	ENSMUSG00000063239
Rorb	ENSMUSG00000036192
Naca	ENSMUSG00000061315
Rit2	ENSMUSG00000057455
Ctxn2	ENSMUSG00000074872
Zcchc18	ENSMUSG00000031428
Gucy1a1	ENSMUSG00000033910
Hepacam	ENSMUSG00000046240
Map2k1	ENSMUSG00000004936
Camkv	ENSMUSG00000032936
Dbndd2	ENSMUSG00000017734
Fam19a2	ENSMUSG00000044071
Sipa1l3	ENSMUSG00000030583
Spon1	ENSMUSG00000038156
Cpne4	ENSMUSG00000032564
Nwd2	ENSMUSG00000090061
Id3	ENSMUSG00000007872
Orc5	ENSMUSG00000029012
Cadps2	ENSMUSG00000017978
Nt5dc3	ENSMUSG00000054027
Fryl	ENSMUSG00000070733
Serpini1	ENSMUSG00000027834
Nts	ENSMUSG00000019890
Hapln4	ENSMUSG00000007594
Cdc42ep2	ENSMUSG00000045664
Gpr83	ENSMUSG00000031932
Cacnb3	ENSMUSG00000003352
Cpox	ENSMUSG00000022742
Tmem163	ENSMUSG00000026347
Adra2c	ENSMUSG00000045318
Dusp14	ENSMUSG00000018648
Car10	ENSMUSG00000056158
Foxn3	ENSMUSG00000033713
Mast3	ENSMUSG00000031833
Crhr1	ENSMUSG00000018634
Slit1	ENSMUSG00000025020
Nrp2	ENSMUSG00000025969
Disp2	ENSMUSG00000040035
Rasl11b	ENSMUSG00000049907
Serinc5	ENSMUSG00000021703
Gm28153	ENSMUSG00000099895
Nbdy	ENSMUSG00000086316
Sept7	ENSMUSG00000001833
Cygb	ENSMUSG00000020810
C1qtnf4	ENSMUSG00000040794
Camta2	ENSMUSG00000040712
Nrsn1	ENSMUSG00000048978
Cnr1	ENSMUSG00000044288
Sh3bgrl3	ENSMUSG00000028843
Rgs8	ENSMUSG00000042671
Enah	ENSMUSG00000022995
Pcsk2	ENSMUSG00000027419
Hrk	ENSMUSG00000046607
Trhde	ENSMUSG00000050663
Plxdc1	ENSMUSG00000017417
Unc5b	ENSMUSG00000020099
Micall1	ENSMUSG00000033039
Il1rap	ENSMUSG00000022514
Adcy5	ENSMUSG00000022840
Nacc2	ENSMUSG00000026932
Syt4	ENSMUSG00000024261
Ubc	ENSMUSG00000008348
Epha7	ENSMUSG00000028289
Grasp	ENSMUSG00000000531
Taf1c	ENSMUSG00000031832
Ctnnb1	ENSMUSG00000006932
Rasgef1c	ENSMUSG00000020374
Tmbim6	ENSMUSG00000023010
Gdpd5	ENSMUSG00000035314
St3gal4	ENSMUSG00000032038
Metrn	ENSMUSG00000002274
Reep2	ENSMUSG00000038555
Arxes2	ENSMUSG00000048040
1810037I17Rik	ENSMUSG00000054091
Chd9	ENSMUSG00000056608
Ntsr2	ENSMUSG00000020591
Rasgef1a	ENSMUSG00000030134
Il31ra	ENSMUSG00000050377
Arf3	ENSMUSG00000051853
Bex3	ENSMUSG00000046432
Rps23	ENSMUSG00000049517
Strbp	ENSMUSG00000026915
Lynx1	ENSMUSG00000022594
Amigo2	ENSMUSG00000048218
Gfra2	ENSMUSG00000022103
Grb10	ENSMUSG00000020176
Zeb2	ENSMUSG00000026872
Pld3	ENSMUSG00000003363
Slc39a10	ENSMUSG00000025986
Etnppl	ENSMUSG00000019232
Kcnf1	ENSMUSG00000051726
Syngr1	ENSMUSG00000022415
Epb41l3	ENSMUSG00000024044
Hspa4l	ENSMUSG00000025757
Terb1	ENSMUSG00000052616
Grin2c	ENSMUSG00000020734
Igfbp5	ENSMUSG00000026185
Mlec	ENSMUSG00000048578
Btbd11	ENSMUSG00000020042
Rbfox3	ENSMUSG00000025576
Pkp4	ENSMUSG00000026991
Kcnd2	ENSMUSG00000060882
Nenf	ENSMUSG00000037499
Medag	ENSMUSG00000029659
Sema3a	ENSMUSG00000028883
Lhfpl3	ENSMUSG00000106379
Rasgrf1	ENSMUSG00000032356
Snhg11	ENSMUSG00000044349
Elavl3	ENSMUSG00000003410
Arhgdig	ENSMUSG00000073433
Rpl22l1	ENSMUSG00000039221
Adgrg1	ENSMUSG00000031785
Sorl1	ENSMUSG00000049313
Serp2	ENSMUSG00000052584
Ap1s2	ENSMUSG00000031367
Hist1h2bc	ENSMUSG00000018102
Tpi1	ENSMUSG00000023456
Cthrc1	ENSMUSG00000054196
Sv2c	ENSMUSG00000051111
Cpne8	ENSMUSG00000052560
Gabbr1	ENSMUSG00000024462
Otud7b	ENSMUSG00000038495
Chn2	ENSMUSG00000004633
Wasf1	ENSMUSG00000019831
Cort	ENSMUSG00000028971
Rph3a	ENSMUSG00000029608
Rasl11a	ENSMUSG00000029641
Ptpn5	ENSMUSG00000030854
Plk2	ENSMUSG00000021701
Pip4k2a	ENSMUSG00000026737
Ube2ql1	ENSMUSG00000052981
Tac2	ENSMUSG00000025400
Plcl1	ENSMUSG00000038349
Nfasc	ENSMUSG00000026442
Syt5	ENSMUSG00000004961
Lrrn2	ENSMUSG00000026443
S100a1	ENSMUSG00000044080
Gng4	ENSMUSG00000021303
Hsph1	ENSMUSG00000029657
Fhl2	ENSMUSG00000008136
Lrrc17	ENSMUSG00000039883
Cyp46a1	ENSMUSG00000021259
Sorbs2	ENSMUSG00000031626
Nr3c2	ENSMUSG00000031618
Mapk3	ENSMUSG00000063065
Atf4	ENSMUSG00000042406
4930578G10Rik	ENSMUSG00000054885
Syndig1l	ENSMUSG00000071234
Ypel1	ENSMUSG00000022773
Rspo1	ENSMUSG00000028871
Ptpro	ENSMUSG00000030223
Mdh1	ENSMUSG00000020321
Grin3a	ENSMUSG00000039579
Scn3b	ENSMUSG00000049281
Sez6l2	ENSMUSG00000030683
Tuba4a	ENSMUSG00000026202
Kcnmb4	ENSMUSG00000054934
Gm9493	ENSMUSG00000044424
Bdnf	ENSMUSG00000048482
Tspan33	ENSMUSG00000001763
Atpif1	ENSMUSG00000054428
Ndufa4	ENSMUSG00000029632
Nlk	ENSMUSG00000017376
Tspyl4	ENSMUSG00000039485
Grin2a	ENSMUSG00000059003
Lap3	ENSMUSG00000039682
Adssl1	ENSMUSG00000011148
Car14	ENSMUSG00000038526
Rilpl1	ENSMUSG00000029392
Pfdn5	ENSMUSG00000001289
Rpl11	ENSMUSG00000059291
Slc4a4	ENSMUSG00000060961
Dusp26	ENSMUSG00000039661
Enpp6	ENSMUSG00000038173
Ccnb1	ENSMUSG00000041431
Blcap	ENSMUSG00000067787
Rpl39	ENSMUSG00000079641
Arpc1b	ENSMUSG00000029622
Nptn	ENSMUSG00000032336
Hdac11	ENSMUSG00000034245
Cdh13	ENSMUSG00000031841
Cux2	ENSMUSG00000042589
Sumo2	ENSMUSG00000020738
Map1a	ENSMUSG00000027254
Cdk2ap1	ENSMUSG00000029394
Tubb5	ENSMUSG00000001525
1700047M11Rik	ENSMUSG00000100147
Rhoa	ENSMUSG00000007815
Eif1	ENSMUSG00000035530
Crhbp	ENSMUSG00000021680
Rps7	ENSMUSG00000061477
Dnajb2	ENSMUSG00000026203
Frzb	ENSMUSG00000027004
Tmem229a	ENSMUSG00000048022
Grin2b	ENSMUSG00000030209
Rasgrp2	ENSMUSG00000032946
Igsf21	ENSMUSG00000040972
Calm3	ENSMUSG00000019370
Slc4a2	ENSMUSG00000028962
Sgcd	ENSMUSG00000020354
Sertm1	ENSMUSG00000056306
